Gemeente,Gebundelde uitkering Budget Definitief,Lasten Definitief,Baten Definitief,Participatiebudget Definitief,Participatiebudget w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Voorlopig,w.v. besteding bij ROCs Voorlopig,Baten w.v. bij ROCs Voorlopig,Bbz Budget Definitief
Muiden,1346747,1246714,9566,128914,11773,172187,11757,0,2143
Naarden,2086261,2084496,33089,238591,20937,394106,20937,961,1334
Oostzaan,778492,897804,15125,120935,27454,98061,18374,0,655
Opmeer,890737,1097158,11673,111543,19987,140163,19960,835,3132
Ouder-Amstel,1512992,1716707,20030,293851,104336,171225,20274,0,803
Purmerend,18885251,18938617,578991,2697648,270659,3326614,270659,0,19883
Schagen,6972600,6798249,204239,878469,45564,932975,45564,6319,43369
Texel,1528862,1472092,17103,180687,14738,216462,14738,0,16847
Uitgeest,1018040,1408235,19670,166297,11170,161916,11156,0,890
Uithoorn,3006547,3393993,80067,423807,50900,483848,51397,4512,6677
Velsen,16876155,16489976,511008,2440674,118582,2751246,121745,11178,14354
Weesp,4616378,4494620,85219,571333,96753,470347,96753,10304,22284
Schermer,623110,630967,5526,55040,4951,21243,4944,0,468
Zandvoort,4607363,5387848,88741,604386,28389,612745,39594,4961,7416
Zeevang,623210,635843,4511,195799,133947,53571,9133,2416,0
Zaanstad,45957754,47999855,1224913,7199968,530290,7282391,420177,22372,64249
Alblasserdam,3512630,3722278,57221,435641,25537,521250,29103,12944,2
Alphen aan den Rijn,13867198,13094137,303652,2050866,203466,2900221,203466,1004470,29185
Barendrecht,6173306,5656447,114554,496224,70597,576835,70503,0,19992
Bergambacht,623231,959500,27661,97898,10819,124370,10819,0,1613
Drechterland,1395884,1579987,10900,194149,60652,236057,60652,2085,13900
Boskoop,2203812,2120174,33874,265302,22439,313631,89651,0,2776
Brielle,2048639,2417261,58095,281675,43386,182843,43329,0,3770
Capelle aan den IJssel,30733805,28489797,820664,4977112,146755,5668813,146755,613618,26278
Delft,44452075,44140305,1369313,7553315,777450,8157378,777450,238000,22423
Dordrecht,53162674,52353708,917200,9673974,396151,9046188,451472,196573,43567
Gorinchem,9858818,9187021,259516,1721578,142910,1418282,142910,0,9086
Gouda,20451324,20843490,346910,3347007,166300,3152867,166300,0,10008
's-Gravenhage,356438891,333337572,10846337,60125577,2391299,62009781,2387454,0,439876
Hardinxveld-Giessendam,1350357,1383771,35626,214571,31538,214571,31538,0,4585
Hellevoetsluis,11494398,10379488,265401,1593329,57707,1587443,120000,1385,39324
Hendrik-Ido-Ambacht,2741773,3438830,38034,385250,56080,414516,63911,9758,4371
Stede Broec,2210559,2448863,32886,264383,54489,370334,54417,21854,23409
Hillegom,2570771,2743400,92030,334428,41275,315832,0,2142,1747
Katwijk,9047685,9210843,266707,1258422,173530,1217834,173530,5006,9259
Krimpen aan den IJssel,5468736,5266466,108448,610714,34839,830120,94839,13159,4281
Leerdam,3709188,4139341,81983,611137,60661,481137,60661,0,617
Leiden,45049625,45827432,1200097,7048147,448988,5971178,449988,17972,53831
Leiderdorp,4343705,4801196,111063,527039,92658,465712,92658,11268,476
Lisse,2310435,2400815,53251,310344,67699,268118,0,3864,6410
Maassluis,11738438,10934368,140660,2236159,68289,2236159,68289,14300,24171
Bernisse,1039928,1048529,57293,165186,27258,96071,27222,0,3035
Nieuwkoop,2288369,2439584,77843,247153,37572,312147,37572,2503,7042
Noordwijk,3233475,3158707,83273,405601,52686,384106,0,5584,7693
Noordwijkerhout,1539820,1755103,52792,171175,24617,163405,0,2793,688
Oegstgeest,2644631,3066629,88169,275096,23065,267607,23065,1965,2069
Oud-Beijerland,2850579,3124833,189045,385523,44082,471143,44025,48311,10798
Binnenmaas,2700806,2672523,44668,369745,47268,453113,47206,43435,2752
Korendijk,752438,716820,13022,116046,17301,144332,17278,12412,1750
Oudewater,874328,1091926,15106,84530,19197,147815,19172,0,0
