Gemeente,Gebundelde uitkering Budget Definitief,Lasten Definitief,Baten Definitief,Participatiebudget Budget Voorlopig,Participatiebudget w.v. Educatiemiddelen Voorlopig,Bbz Budget Definitief,Best. levensonderhoud,Best. kapitaal,Best. onderzoek,Best. Bob,Best. Bob uitvoeringskosten,Baten levensonderhoud,Baten kapitaal,Baten Bob
Waterland,1585829,1924975,47574,168471,29080,2700,17415,19000,10934,0,0,381,16954,0
Tilburg,97550325,102060145,2985000,11768805,547688,154070,921876,786005,104704,0,0,346121,436889,0
Uden,9030399,8524217,240501,990850,96362,14876,83419,32235,33527,0,0,59657,45420,0
Valkenswaard,7002880,7080630,113671,860378,80754,6250,34000,31448,26614,0,0,15924,44573,0
Veghel,4958542,5452739,72109,435459,154729,19776,5184,0,20246,0,0,4900,47773,0
Veldhoven,6681551,7057353,210535,557728,103048,17625,69038,56436,44866,0,0,6588,116075,0
Vught,3783998,3707489,53579,310304,51990,36884,78380,45757,17260,0,0,18160,60705,0
Waalre,2335256,2354990,96874,207334,17524,10996,131724,9541,0,0,0,112759,7503,0
Waalwijk,10566957,10557702,241881,1036882,124099,10165,93198,0,34207,0,0,16581,20272,0
Werkendam,2234134,2866872,77694,246310,53890,2326,0,227982,11339,0,0,398,69257,0
Woensdrecht,3909075,3822634,105889,431106,45100,6027,44144,18000,24753,0,0,10983,59771,0
Woudrichem,1204767,1522239,26165,148556,27439,7485,10859,4500,4893,0,0,1100,2315,0
Zundert,2125820,2312076,25660,245730,43312,36311,52079,0,16859,0,0,5372,75972,0
Wormerland,2900141,3272895,66701,352888,23851,2919,24832,45300,17563,0,0,5607,4563,0
Onderbanken,2212112,2151286,53220,247002,13673,0,0,0,1709,0,0,0,12002,0
Landgraaf,15666171,15402801,221052,2136856,91306,2709,9507,13005,49344,0,0,5547,30515,0
Beek,3628977,3913947,38353,431107,29945,2581,14760,46398,22772,0,0,10405,0,0
Beesel,3291982,3186656,166762,402455,44047,7468,25779,166800,25751,0,0,1346,30959,0
Bergen (L.),2138016,2410166,26124,235582,20288,947,41554,27023,17794,0,0,5779,139651,0
Brunssum,14307418,14143392,203891,1664352,86995,10443,5114,0,21513,0,0,12221,17397,0
Gennep,3249004,3452298,44623,387440,48944,3145,19239,75000,5572,0,0,3204,19781,0
Heerlen,66631680,65803414,1138041,9561069,345271,37750,132717,91322,123138,0,0,2574,286602,0
Kerkrade,29148679,29000704,1049687,4252404,149089,46853,141601,78800,107089,0,0,51180,143885,0
Maastricht,57678155,55622403,2183493,6754256,664672,21788,74110,27385,88041,0,0,52626,81572,0
Meerssen,3127591,3030007,0,413411,55913,5649,8371,3856,20527,0,0,0,15006,0
Mook en Middelaar,1207785,1361769,38528,136751,12304,1980,37,15000,4044,0,0,6940,28587,0
Nederweert,1710790,1784798,18008,171965,26287,2497,7018,240000,3131,0,0,600,33501,0
Nuth,2977116,2999412,56460,382276,28872,1477,19860,27200,33579,0,0,2948,34221,0
Roermond,24864782,24850485,338433,3225317,158292,22195,85337,223586,93462,0,0,9142,86924,0
Schinnen,2584181,2865123,23231,322059,31421,5774,16194,0,21268,0,0,7183,19883,0
Simpelveld,1768288,2149108,30023,242825,23141,175,24291,12000,33494,0,0,1975,13688,0
Stein,4523399,4410898,181669,528720,68885,4217,3040,0,38007,0,0,0,15572,0
Vaals,4753413,4338263,153,521991,40324,0,0,40747,7316,0,0,0,3730,0
Venlo,40356299,43302553,794695,4710264,396341,44376,158606,229401,45498,0,0,11321,323515,0
Venray,9634074,10613265,302508,1473884,192389,28541,26357,267041,36422,0,0,0,131402,0
Voerendaal,2313049,2118225,33518,273424,20992,2050,13734,0,21390,0,0,1308,29522,0
Weert,12050411,13567870,270297,1555982,127842,50683,74713,35000,94610,0,0,24089,288075,0
Valkenburg aan de Geul,4523457,4673780,50646,538820,46237,5952,16670,57000,43164,0,0,0,72569,0
Lelystad,33542380,33263485,919609,4564397,274997,34035,570032,331400,503572,0,0,86562,275790,0
Horst aan de Maas,4531142,5335143,54612,485512,153538,23394,21603,322000,82758,0,0,0,370247,0
Oude IJsselstreek,7492931,8784248,130720,661438,74733,30342,79362,103084,58634,0,0,3764,142365,0
Teylingen,3269001,3493272,101399,255532,81548,5259,21518,0,10690,0,0,2195,23400,0
Utrechtse Heuvelrug,6307313,8006462,216985,669788,89025,22751,140801,98150,72291,0,0,67017,7345,0
Oost Gelre,3941490,4057942,189841,464977,48618,18049,41578,56130,17916,0,0,3243,78191,0
Koggenland,1776018,1863876,54861,179955,54206,3699,32847,19000,5084,0,0,0,41563,0
