Gemeente,Gebundelde uitkering Budget Definitief,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Voorlopig,w.v. besteding bij ROCs Voorlopig,w.v. besteding bij ROCs Baten Voorlopig,w.v. bij ROC Voorlopig,Bbz Budget Definitief
Amstelveen,13858065,12029043,632352,2727783,497716,2891433,614263,0,0,43818
Amsterdam,539707658,557038715,15826525,111579869,6583278,151316836,6583278,121794781,6583278,1071155
Graft-De Rijp,391020,361587,3444,84623,29400,50645,24946,0,0,1757
Beemster,542676,691194,17320,102110,42890,73329,42568,0,0,3075
Bergen (NH.),2913515,3282606,128873,657922,162064,564906,160825,0,0,7686
Beverwijk,10018412,10723129,373263,1813919,315381,1940917,315381,21419,0,7994
Blaricum,937522,993482,18298,162682,43249,209902,43249,1080,0,3265
Bloemendaal,2159939,2355575,88499,373593,93576,322639,63576,1824,0,10913
Bussum,5226882,6204713,137543,1216168,162873,1208141,162873,2485,0,21822
Castricum,2386098,3055729,63510,365820,162957,581840,161861,1180,0,7435
Diemen,6118003,6012543,90143,1190985,202296,1510546,218745,0,0,68616
Edam-Volendam,2227497,2511672,147328,509403,195803,569239,145725,3985,0,0
Enkhuizen,3137502,3597126,41960,478461,117448,586744,117108,1676,0,9347
Haarlem,42850914,42164537,1491808,7968892,990046,7313078,982482,13007,0,268212
Haarlemmerliede en Spaarnwoude,632324,653693,6840,139400,35670,131186,35670,65,0,5375
Haarlemmermeer,21472550,20754789,598251,4072290,940310,4718686,1075355,3012,0,392533
Harenkarspel,1264127,1422831,23572,253595,89598,278463,89598,1721,0,26441
Heemskerk,8029328,9183807,178886,1653395,275120,1549258,0,0,0,30343
Heemstede,2554988,2843243,119826,524967,108993,595599,108993,0,0,6747
Heerhugowaard,6823169,7561432,200810,1424525,331691,1740416,306768,17706,0,86537
Heiloo,2223758,2330187,30059,326394,100396,0,0,0,0,20300
Den Helder,21877266,23010635,668777,4077142,401995,5465296,401995,87980,0,45161
Hilversum,23066927,22379106,404715,4535029,561451,4314259,561451,135544,0,113469
Hoorn,17460403,15898232,514515,3398813,462930,7699699,462738,127527,0,65791
Huizen,7478116,7760347,178550,1339544,236687,1882476,236687,7270,0,93822
Landsmeer,974174,1099319,17887,170870,59722,163700,43500,21000,0,307
Langedijk,2319846,2827969,127873,426401,139958,585197,72707,3308,0,17308
Laren,908515,1009508,20098,170664,60341,217849,60341,4550,0,17642
Medemblik,3998210,4406652,93507,766301,259414,679280,258897,0,0,21288
Muiden,982741,1203527,18111,155855,37582,243754,37582,0,0,3232
Naarden,1759077,1895714,145783,342739,64688,386563,64688,731,0,27230
Oostzaan,623254,839857,22008,142325,49968,90038,49968,0,0,0
Opmeer,737413,935689,22055,158789,61753,174351,61288,2627,0,8271
Ouder-Amstel,1367993,1443946,17673,263474,61116,387284,64641,0,0,633
Purmerend,15729488,16661284,588011,3270933,542559,3557559,538484,0,0,39507
Schagen,3209609,3291255,97730,545790,108417,629281,108417,7641,0,19489
Texel,1542115,1326802,26435,329591,79151,361164,79151,784,0,42826
Uitgeest,856974,1003183,22733,225218,53639,179262,53639,270,0,0
Uithoorn,2658125,3045432,109494,685591,149088,708471,114277,1296,0,10953
Velsen,14458377,14749931,302702,2458631,445287,3299499,443023,29516,3648,39911
Weesp,4270723,4062886,45066,766398,118074,736664,118074,68150,0,15936
Schermer,439964,640525,279,67673,27041,60870,26838,0,0,6355
Zandvoort,4175814,4841347,107005,674719,112541,930902,71791,0,0,12303
Zijpe,1178765,1411128,59228,208402,65084,223855,65084,1422,0,37668
Zeevang,552932,625255,3913,88064,33650,74104,33650,0,0,6584
Zaanstad,40200863,42257779,902828,8478068,1087289,8875735,1087289,8732,0,76502
Alblasserdam,3196654,3206056,83328,530660,117434,579579,117434,4288,0,26593
Alphen aan den Rijn,12438071,11362616,351765,2613610,459783,2714969,459783,21417,0,99657
Barendrecht,4981609,5410948,106471,729643,279469,1079794,269515,0,0,67201
Bergambacht,555634,676915,55670,141132,58996,112609,58996,0,0,0
Drechterland,1231620,1292673,18400,270475,112985,362984,112985,19303,15946,23665
Boskoop,1846558,2097693,45136,381503,91029,380803,91029,0,0,8728
Brielle,1695003,2104058,45256,321056,101952,273192,99249,0,0,153071
Capelle aan den IJssel,26617595,27135211,876054,5416612,501663,5714926,501663,402792,0,67285
Delft,38678021,43383140,1389232,8859063,695164,10480957,695164,39601,0,28605
Dirksland,680704,586485,8080,134055,56035,122452,56035,0,0,2360
Dordrecht,47766785,48735099,1312675,11246708,915613,13107455,915613,48864,0,101519
Goedereede,920184,923214,8354,195067,74666,161514,102828,1356,1356,1757
