Gemeente,Gebundelde uitkering,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Definitief,,Participatiebudget Baten Definitief,w.v. bij ROC Definitief,Bbz Budget Definitief,Bbz Lasten Voorlopig,Bbz Baten Voorlopig,Rijksvergoeding Voorlopig
Oost-Gelre,2373318.39060017,3154873,135415,985110.240538578,238410.957409344,941634,238411,9217,0,29703.4333923916,363007,34879,255929.25
Koggenland,1154650.60513532,1219694,4880,500557.162993128,171547.200402846,721567,135773,3811,0,8424.5283572612,519065,88403,324689.7
Lansingerland,3623550.27040048,5009811,128933,1670019.00191536,349476.175533568,1630892,332081,16181,0,31822.6787092758,593926,334060,204573
Leudal,3107537.56083795,3554146,190093,1137959.24695869,270810.821038691,932964,270811,80149,0,127637.600541753,536830,365618,134082.3
Maasgouw,2416691.39624952,2931645,66569,901350.08514604,195649.601792305,971400,195650,29269,0,63335.9348010601,320477,78493,227104.3
Eemsmond,3962971.25978143,3885603,33798,1735713.47706424,133247.109850973,2114422,133247,0,0,9067.2829795294,137442,85102,44876.4
Gemert-Bakel,3512458.45579468,4207218,172476,1275999.78263591,241575.950534507,1396180,241576,17172,0,13592.4430833035,347583,93591,195683.1
Halderberge,3223248.66593508,3714134,171472,1485326.58265232,275949.883764243,1662319,275950,100607,6500,34696.2741421057,132113,75104,53493.3
Heeze-Leende,995017.725145593,1222686,10892,422797.471156175,100046.119542517,448631,87913,131698,112093,593.9034907336,141149,166964,-18189.75
Laarbeek,1962062.87021613,2180958,47774,736523.674144396,183041.526789991,619644,166885,0,0,45147.8973395214,12452,58340,-34416
De Marne,2715500.82874307,2738756,87693,1055609.22569458,97259.3368205571,821224,97259,0,0,4814.9817037098,155669,6635,112611.9
Reusel-De Mierden,517760.100551785,807474,10553,278397.223271038,104106.002970319,258816,0,0,0,42979.0117115568,82335,149050,-47715.75
Roerdalen,2958255.18263606,3702463,119172,912268.345713321,202638.995039478,760292,202639,64321,0,787.8581288693,152861,18155,103965.45
Maasdonk,497257.309998923,622241,9020,270021.197561969,97534.5115262783,302607,97535,0,0,19262.0741173243,18195,20431,-578.55
Rijnwoude,825576.101331876,1267500,50934,494221.283952206,139327.069888593,558172,139327,7239,0,17170.1610245926,180430,119604,49791
Roosendaal,12842130.1080743,15228723,246935,7038696.58899667,764194.117254057,7113160,764194,174054,17480,53412.65813304,383739,223661,133817.7
Schouwen-Duiveland,3351474.30580365,3760835,176152,1525002.1513136,298168.985518033,2144179,298169,104697,0,15392.4882151842,344406,132072,163165.95
Aa en Hunze,2839294.82864923,3546777,40255,1298480.41815277,184560.212370251,1368661,184560,0,0,37745.0674340995,525722,42007,374808.6
Borger-Odoorn,3786637.99740847,4623613,110548,1919089.72503847,219156.180830691,1739581,219156,16708,10512,24659.8052683038,396599,78557,246597.9
Cuijk,3497470.16192202,4176488,130538,1658644.70857574,235708.411451121,1702326,235708,10756,0,5680.9915488776,74449,15602,47848.95
Landerd,740676.671725468,1093366,47669,374642.115108501,104725.529556932,358407,104726,0,0,430.7635609088,6911,35521,-20420.85
De Wolden,1519468.77626415,2105405,86377,625043.539596026,172821.005444096,895371,172821,270327,0,8756.8922406184,422673,84566,260270.4
Noord-Beveland,641076.42214108,883035,0,262797.002030297,53732.5852561184,339318,114516,0,0,0,15149,12242,2613.45
Wijdemeren,1633545.20886348,2005921,89268,635146.291923393,167683.213208548,659781,167683,0,0,3851.2695954729,181420,8254,133731.15
Noordenveld,4301748.08824741,5015795,170989,1527580.78533014,197167.835825869,1519592,197168,22420,0,4745.0246075787,270820,60895,165206.1
Twenterand,3911215.6198525,4976278,155677,1425655.07537325,308505.138470545,1227664,308505,35475,0,45127.5576132048,310942,107344,161981.1
Westerveld,2005697.54408963,2641469,95779,735983.962838708,152846.340207304,819933,305692,3294,0,4544.9033571782,167397,14019,118064.55
Sint Anthonis,763174.196946454,881273,32321,310628.459524378,71378.1457294014,278556,71378,3420,0,22204.1813465359,176705,26107,114622.8
