Gemeente,Gebundelde uitkering Budget Definitief,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,Participatiebudget w.v. Educatiemiddelen Definitief,,w.v. besteding bij ROC Definitief,Participatiebudget Baten Definitief,w.v. bij ROC Definitief,Bbz Budget Definitief
Veldhoven,4976271.18896313,5543480,126044,1399991.01129062,245985,1481664,245985,0,0,57615.712295605
Vught,2828949.75595414,3528295,56391,838310.507940868,143113,858920,143113,6392,0,1152.4905261333
Waalre,1758047.12123427,2063954,137527,561642.644985133,78973,484633,58010,17940,0,8380.9439107454
Waalwijk,6664176.76727005,7872076,272477,2567641.81861343,341514,2824124,340048,0,0,20823.9978550326
Werkendam,1773047.53641183,2075376,49067,636531.109185802,186381,630208,186381,803,0,913.5569256575
Woensdrecht,2782962.37103961,3529058,48173,786682.289051484,137593,685366,137593,1755,0,10238.4201375886
Woudrichem,858674.435057857,1186970,36545,304155.376007898,100363,318608,100363,0,0,42.7542622457
Zundert,1440054.54601097,1787660,15095,530472.906233178,151152,546169,151152,10323,0,1047.227081144
Wormerland,1733830.80583183,2391803,117660,771294.824922385,87948,733168,87948,745541,onjuist,2348.5464198248
Onderbanken,1679104.64059646,1928802,74181,564535.054981742,51455,542604,89254,0,0,33.5256862466
Landgraaf,12209834.7910791,14386586,382962,4879704.0257693,285430,5045162,433066,0,0,20519.7387339228
Beek,2806859.82624101,3459180,18567,1008197.44515525,103095,1169745,103095,540,0,8308.1652335183
Beesel,2331242.06784655,2972382,98729,826296.301333223,105951,826296,121737,0,0,9519.7087325363
Bergen (L.),1444853.70601936,1794594,38894,498744.622927862,70519,535784,70519,135,0,105047.582828866
Brunssum,11003770.5824612,13084089,206540,3820538.748301,245570,4260593,309308,0,0,44300.210946578
Gennep,2363097.59684347,2680259,66711,814600.354841152,111337,916508,111337,1510,0,46193.1324755738
Heerlen,48187185.8637464,61836719,919074,21429485.2493939,766603,20978631,1590014,7000,0,120137.68797251
Kerkrade,21652611.775136,28191476,939527,8830399.68556646,412625,9452828,894600,0,0,38977.1926434762
Maastricht,45808166.7173201,47103245,1539426,17097508.0295293,853744,16776552,850081,340274,0,55206.6484071927
Meerssen,2723356.78326017,2820750,58534,1065160.83499334,117997,987085,0,2715,0,33235.7927018074
Mook en Middelaar,828099.70835357,1114781,29601,304736.017296947,34925,324295,34925,0,0,3242.9432355467
Nederweert,1145967.34639773,1388026,21914,352391.69863931,103247,364908,103247,0,0,21546.5259611938
Nuth,2403132.62337322,2631921,56869,803875.0426234,95349,957465,94940,0,0,3254.3527836081
Roermond,18123742.2331986,20170665,406178,8647295.08516169,468343,9990755,468343,973633,0,15969.2171303678
Schinnen,2168715.28318159,2477391,20755,817487.858782159,86407,827511,86407,0,0,3066.2304248146
Simpelveld,1399376.39284854,1484956,103220,557147.376518901,77620,649667,77287,0,0,2859.2723982106
Stein,3392834.09455672,3767816,94428,1216925.85650128,186074,901112,186074,5839,0,27914.054142643
Vaals,3913399.63910165,4101590,56543,1314165.67734262,66721,1624850,0,3717,0,1428.6989218554
Venlo,28793006.2025029,33189670,795466,13140056.2235254,848974,12727432,846302,0,0,73193.1745723562
Venray,7425198.39211398,8988263,244590,2851984.45130712,278950,2794783,401299,2974751,onjuist,48302.2777377716
Voerendaal,1466525.80206889,1941643,56932,587983.142230119,71177,694200,70872,0,0,788.2501671702
Weert,10453345.5649471,11903776,253386,4182985.89451195,339493,4205664,339494,19798,0,135291.473895461
Valkenburg aan de Geul,3406324.02559179,4052178,94939,1149277.18024466,108211,1167903,108211,0,0,9139.7329305123
Lelystad,21442787.5851985,27027279,826729,8622076.07973541,587440,10802695,584920,884497,0,117312.216135124
Horst aan de Maas,3293939.35559398,4169078,86193,990593.678988015,262228,928057,263808,603,0,169972.839934289
Oude IJsselstreek,4914811.72858091,5384376,173428,1911727.74705504,282641,2227752,282641,385911,0,61036.3281498369
Teylingen,1956265.8745355,2570243,50040,591003.040774226,182828,591003,182828,0,0,45264.1825735429
Utrechtse Heuvelrug,4549502.32494195,5644785,285362,1687937.05118074,256156,1821110,256156,1052,0,19512.0214937748
Oost-Gelre,2587086.13039651,3630251,66805,822942.804876262,187763,990812,187763,42890,0,14683.4755198261
Koggenland,1231356.80575333,1392402,3288,457705.822794875,126938,598038,126392,3127,0,20414.4392398084
Lansingerland,3811570.78033262,5453985,141713,1511501.85205834,282808,1579179,282808,21911,0,309881.887887271
Leudal,3130235.62495181,3641527,69583,1120402.27065892,202051,1085474,202051,0,0,45158.4234530849
Maasgouw,2515688.72150758,3168487,34836,775884.982502005,152884,941539,152884,24150,0,17367.4950968669
Eemsmond,3818572.88688217,4233155,7697,1538916.99961817,106049,1091325,106049,0,0,42381.4241703972
Gemert-Bakel,3589018.54805349,4462207,57914,1096503.12476882,189484,1092128,189484,26628,0,83768.5143383013
Halderberge,3444848.17593439,4278554,204436,1248681.71529614,220007,1441153,220007,15059,0,2884.5338225518
Heeze-Leende,1160279.9485633,1191597,20500,357447.803636347,76320,316221,30750,43091,0,86969.2079993523
Laarbeek,1849760.92955268,2223443,49298,648159.065326473,140674,718441,140674,3407,0,5958.9564110218
De Marne,2616714.1364163,2808339,59494,963582.43031231,76251,995053,76251,1224,0,3093.5917106868
Reusel-De Mierden,556538.0069815,937641,7385,224713.174388051,79954,270048,79954,0,0,79335.0938111564
Roerdalen,3098144.98754042,3695892,129460,950255.04736958,150236,856818,150272,7609,0,13410.4817811112
Maasdonk,413418.955893423,750403,17620,220933.132962501,71731,219196,71424,0,0,13799.1724591031
Rijnwoude,1030298.22949781,1296108,42057,379260.234087387,107992,377253,71731,13623,0,3091.0547535152
Roosendaal,12721411.8051245,17220634,324930,6492387.09973554,590750,5328317,762928,76461,44948,19608.7548145619
Schouwen-Duiveland,3216355.99653526,4138585,248010,1304563.899107,234533,1000818,234533,5373,0,21485.855283825
Aa en Hunze,3085498.11764746,3614350,119503,1129171.96093035,145096,1072765,144473,0,0,44784.1434128102
Borger-Odoorn,3672408.34617739,5286094,182213,1895594.87143156,167910,1669954,167189,32139,0,54579.4026445374
Cuijk,3491848.93503626,4502329,125161,1357020.48081262,180632,1291015,180632,0,0,10984.9839978411
Landerd,891228.121841855,961750,52137,296211.309995568,82517,324800,82517,0,0,71638.5740814511
De Wolden,1674378.75090749,2173507,35561,579652.477439103,136852,642381,136852,52834,0,6751.9290135665
Noord-Beveland,725373.08951466,961817,0,240593.294326992,40922,223504,47637,0,0,0
Wijdemeren,1783237.13030493,2213926,30873,596372.663381799,129863,606066,129863,0,0,16759.711355569
Noordenveld,4414497.46739973,5592931,117740,1465969.16899371,148796,1243156,148796,18150,0,84511.1353255074
Twenterand,4152089.6286571,5384999,175984,1425232.02402502,243264,1458746,243264,33408,0,64471.5484058329
Westerveld,2249279.36490852,2954398,73892,654597.834211519,118125,673991,118125,270,0,4344.4242498102
Sint Anthonis,744106.736368353,753977,12474,272444.708719321,52828,283527,52828,2160,0,792.6481604198
Lingewaard,5063221.09066877,6582841,180409,1728285.93571362,294613,1889594,294613,49984,0,90198.4075059942
Cranendonck,2253673.57017276,2553376,83255,739362.103790781,132735,630418,54592,0,0,2495.7530217474
Steenwijkerland,7038547.38180767,9078347,161258,3031834.20467401,270841,2413879,270841,1137,0,42108.7035275186
Moerdijk,3367284.53134361,4131764,63229,998578.699551545,229536,1263737,228552,3642,0,55212.2810829733
Echt-Susteren,4994067.71727531,6147339,104649,1773525.97954757,215201,1685449,215200,0,0,67450.5714911407
Sluis,2973770.63590058,3531026,115951,1092502.65481165,157555,1124561,176400,11785,0,10651.2186679218
Drimmelen,1437795.89630918,1759389,73535,568627.71033307,162683,629700,162683,15313,0,44829.7455559306
Bernheze,2242083.84506251,2526054,49619,739413.820731089,188351,1014185,188351,36560,0,79203.7668487947
Ferwerderadiel,1467729.82221047,2003580,64959,518972.582420328,54161,556597,54161,36318,0,7965.0857109281
Alphen-Chaam,467313.223816128,521808,6472,182518.332552311,57884,207438,53533,0,0,912.4033536576
Bergeijk,1381724.3403281,1758232,22841,482866.551305432,95297,389602,95297,34,0,6884.986333928
Bladel,946229.387204771,1370077,28513,412940.286136412,121645,509826,121645,0,0,69398.3282453967
