Gemeente,WWB Budget Definitief,,W.v. budget 65+ Definitief,Uitgaven Definitief,W.v. uitgaven 65- Definitief,W.v. uitgaven 65+ Definitief,WWB Budget Ontvangsten Definitief,W.v. ontvangsten 65- Definitief,W.v. ontvangsten 65+ Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Beschikbaar Voorlopig,Participatiebudget Lasten Definitief,w.v. besteding bij ROCs Definitief,Participatiebudget Baten Definitief,w.v. bij ROCs Definitief,Reserveringsregeling Voorlopig,IOAW Budget Definitief,,IOAW Ontvangsten Definitief,IOAW Rijksvergoeding Voorlopig,IOAZ Budget Definitief,IOAZ Uitgaven Definitief,IOAZ Ontvangsten Definitief,IOAZ Rijksvergoeding Voorlopig,Bbz Budget Definitief,Bbz Uitgaven Voorlopig,Bbz Ontvangsten Voorlopig,Bbz Rijksvergoeding Voorlopig
Barneveld,3456333,3321473.46763481,141611.796086696,4194740,4055936,138804,123029,120256,2773,2018448.90783998,571643.643599287,1642287.27067231,1849962,384900,23929,0,-478174.729327694,83413,188528,2117,139808.25,17152,74852,0,56139,117136,742695,351202,304883.1
Beuningen,2916114,2768133.6798713,153678.544240168,3259041,3114724,144317,157547,153210,4337,1591201.63289038,264950.901357683,2280661.80423815,1838800,264951,0,0,397800.408222594,18617,38467,907,28170,27676,47412,0,35559,39976,379878,69594,238707.45
Brummen,1618242,1567815.0841114,53589.167033099,2418229,2377192,41037,133111,128495,4616,1008109.01818815,247898.360061303,1517464.34072478,1497263,247898,0,0,17057.340724783,38144,110915,6098,78612.75,4764,0,909,-681.75,14247,81112,61906,18026.1
Buren,1321734,1296226.9369679,28089.0517764059,1553690,1520204,33486,57720,57720,0,845306.297151051,308508.134823041,1097399.42052521,874874,308508,0,0,211326.574287763,52824,94090,416,70255.5,11407,16913,0,12684.75,0,57680,9708,39381
Culemborg,4927023,4612915.66735631,323734.688777872,5448489,5054851,393638,275445,275445,0,2142189.68964825,354823.62340728,2150545.26487451,2368570,354824,11680,0,-354115.73512549,35004,207931,0,155948.25,1903,27600,0,20700,3629,242174,37829,161256.15
Doesburg,2866866,2717006.15992528,155461.090696364,3176059,3056673,119386,99669,99669,0,1298663.74889985,152165.430120367,1577063.17782183,1268737,152165,391,0,273238.177821828,12104,141810,140950,645,2049,59637,956,44010.75,5376,70222,16932,42520.05
Doetinchem,9710826,9199778.26775825,530021.393191913,10654288,10119091,535197,480687,467010,13677,5143124.2941025,611069.698504277,7127014.59989095,6779675,611070,92132,0,62025.5998909529,93933,468600,1255,350508.75,45773,82261,0,61695.75,63319,1271385,141953,856957.65
Druten,1961635,1812442.09914647,153024.943872896,1907277,1759826,147451,96050,94426,1624,1226834.72238396,199251.654442165,1840757.34461056,1493197,198802,7515,0,87364.3446105644,20022,93913,631,69961.5,9013,19032,629,13802.25,12744,32281,35058,-532.95
Duiven,2635756,2501541.27652847,137474.348121703,3282247,3094550,187697,131318,131318,0,1350482.77114609,253748.660418594,1895205.84994096,1584543,253749,26958,0,337620.692786523,36827,200964,310,150490.5,838,0,0,0,57111,47053,28924,17249.25
Ede,15351487,14640684.0333405,740797.204395638,16722466,15867062,855404,932774,878426,54348,8059829.1402004,1240866.15958173,9614367.17117187,7363100,1240866,1603,0,2014957.2850501,106165,317850,2023,236870.25,42936,27184,386,20098.5,121668,866714,256033,473653.35
Elburg,1311067,1145236.76849494,56623.1338585423,1743735,1693343,50392,63686,60483,3203,780261.51708863,258638.492345025,1132001.05288807,748404,258638,3726,0,195065.379272157,12431,97646,1276,72277.5,10490,38216,0,28662,1753,155570,76184,61409.4
Epe,2821446,2615710.75253132,211247.519075467,3951904,3724577,227327,134710,133580,1130,1602965.00375197,418870.522644481,2261855.65098644,1955329,418871,3589,0,310115.650986439,25871,104119,1003,77337,6502,7092,0,5319,7988,113005,19060,71599.8
Ermelo,2376140,2292116.04938839,49488.0975672121,2663125,2612310,50815,108620,108620,0,1145104.20225115,284656.72449441,1201005.21568267,1048936,284657,11436,0,133706.21568267,27086,45240,9361,26909.25,9832,0,0,0,11564,188492,8938,140330.55
Geldermalsen,1648498,1565847.02359935,85871.4471397938,1856814,1772597,84217,82452,77424,5028,1007501.18564516,299078.977180697,1132518.28678545,1404835,299079,1071,0,0,65727,122355,1089,90949.5,21014,45391,0,34043.25,42818,416360,101488,242359.65
Groesbeek,2514780,2497118.96273566,22574.0713119311,2871659,2848609,23050,117317,117110,207,1703282.23987292,222108.689122821,2339097.17399412,1999510,222109,0,0,339587.173994116,19712,183143,0,137357.25,5555,6616,0,4962,21861,227304,83995,111309
Harderwijk,6495800,6196003.1495416,312487.669470923,6726682,6393330,333352,350401,350401,0,3039397.5604262,517217.826831094,4237254.23841812,2533513,0,3272,0,759849.390106551,32132,194918,4087,143123.25,20792,67717,0,50787.75,23556,218718,44281,136064.85
Hattem,737048,696618.678268373,41869.2272377717,992580,932919,59661,60607,60607,0,440091.421935316,119348.721435247,645574.581291114,580006,119348,8572,0,69462.5812911144,15870,51947,187,38820,4648,19032,0,14274,9027,21060,0,16185
Heerde,1031369,996082.126844409,37301.3003666906,1295402,1278612,16790,40647,40647,0,730792.431137389,221813.174010679,474166.926926371,732966,221811,0,0,5672,70533,131919,54,98898.75,2843,25169,0,18876.75,7389,18680,15358,2491.5
Heumen,1649450,1512119.05589522,140553.181762711,1949402,1842365,107037,73392,73392,0,874677.404201915,126710.318218023,1142250.4123439,762624,126710,0,0,218669.351050479,30391,50700,1340,37020,12057,53395,0,40046.25,27557,373378,147605,177371.25
Lochem,2650502,2554691.88042515,100990.351368262,3357774,3269613,88161,98930,96520,2410,1384836.04850942,292069.604311094,1136169.92393503,1434063,291600,3245,0,45981,103303,224202,370,167874,27420,67750,0,50812.5,25735,502000,114359,295583.7
Maasdriel,1286089,1159842.98221879,50480.01797617,1816801,1772603,44198,94929,94929,0,874508.04561222,313824.296037426,1108367.95451646,835151,313824,3555,0,218627.011403055,31932,97457,0,73092.75,11491,67182,1140,49531.5,12612,85623,45560,34120.05
