Gemeente,WWB Budget Definitief,,W.v. budget 65+ Definitief,Uitgaven Definitief,W.v. uitgaven 65- Definitief,W.v. uitgaven 65+ Definitief,WWB Budget Ontvangsten Definitief,W.v. ontvangsten 65- Definitief,W.v. ontvangsten 65+ Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Beschikbaar Voorlopig,Participatiebudget Lasten Definitief,w.v. besteding bij ROCs Definitief,Participatiebudget Baten Definitief,w.v. bij ROCs Definitief,Reserveringsregeling Voorlopig,IOAW Budget Definitief,,IOAW Ontvangsten Definitief,IOAW Rijksvergoeding Voorlopig,IOAZ Budget Definitief,IOAZ Uitgaven Definitief,IOAZ Ontvangsten Definitief,IOAZ Rijksvergoeding Voorlopig,Bbz Budget Definitief,Bbz Uitgaven Voorlopig,Bbz Ontvangsten Voorlopig,Bbz Rijksvergoeding Voorlopig
Oosterhout,8154160,7707091.7508088,463000.071672229,8525266,7931058,594208,285465,39032,246433,4031152.43784756,627172.774307547,5713426.6325442,6175916,632425,7224,0,-720839.367455805,114680,285063,2929,211600.5,15168,79773,0,59829.75,53981,341734,139585,159237.6
Oss,12945503,12268910.7411412,701886.761751824,12474284,11790375,683909,438962,428779,10183,7199550.35890159,1008743.51627981,10226648.6298124,8220271,1008744,48813,48813,1799887.5897254,324088,882071,1619,660339,29539,116769,0,87576.75,28001,241785,156001,78943.65
Rucphen,2673378,2628493.97502127,50106.5320520147,3188913,3133533,55380,78891,78018,873,1346643.43681296,331499.308043365,1841175.72549706,1358041,331499,0,0,336660.85920324,72727,193220,2977,142682.25,2578,6423,0,4817.25,21622,190834,48808,112434.45
Schijndel,1711335,1433575.42381135,109673.899104872,1797387,1714022,83365,74873,74873,0,911110.366710323,278219.188866,781469.453638745,562515,278219,9516,0,209777.453638745,23298,80271,106,60123.75,5698,14660,0,10995,14997,66080,30018,29485.05
Sint-Michielsgestel,1733123,1650532.86472081,85976.9447872013,1912679,1852636,60043,35171,35171,0,883195.274045658,262001.600814981,1064177.24769473,837913,262002,9506,0,220100.24769473,47891,93452,85,70025.25,7352,72779,0,54584.25,18106,54989,20647,27970.65
Sint-Oedenrode,1039423,994177.458026431,47277.4974382021,1000626,945526,55100,63869,63869,0,493596.308156913,170469.736013959,693941.80264149,733064,170470,20678,0,-95765.1973585099,14689,67153,0,50364.75,8564,18405,0,13803.75,26676,85825,20868,50844
Someren,1547355,1505363.38001241,45014.7547938068,1892252,1866429,25823,2381,2381,0,645828.003892432,189179.229986516,950655.172127964,789674,189179,0,0,160981.172127964,18454,147490,3208,108211.5,8678,42160,0,31620,48983,360929,248913,88061.85
Son en Breugel,1446153,1373074.09039763,75904.9510013773,1758544,1677623,80921,40772,36465,4307,597014.94254289,111167.171575243,911748.322793302,734951,111167,37058,37058,149253.735635723,15037,50981,15,38224.5,2186,9083,0,6812.25,26066,123172,15720,82650.9
Steenbergen,2059623,2002292.08254732,61354.7639756005,2596911,2528059,68852,74909,68714,6195,1210922.4964949,299509.823264228,1382479.97436698,1204649,299510,0,0,177830.974366984,63183,158326,77,118686.75,13404,56090,0,42067.5,4892,78590,24695,44862
Waterland,975541,963721.17266268,13725.6077127067,1115491,1097952,17539,101754,101754,0,493857.14713274,161884.966350148,673372.155945448,459615,111010,8640,0,123464.286783185,25691,85379,0,64034.25,10569,34293,0,25719.75,1536,51596,12581,29976
Tilburg,62272427,59627647.2196905,2766451.46918385,66089126,63517647,2571479,2337030,2336260,770,24516291,,38661582.5316043,28023681,0,0,0,7045314.53160434,605215,1712576,14126,1273837.5,101287,308639,1200,230579.25,257236,1733266,530425,911617.5
Uden,6233242,6048053.74164633,197366.696433241,6516081,6311825,204256,940015,930710,9305,2975062.84834938,463247.632358445,3637127.43045243,2909528,463248,0,0,732591.43045243,65280,232184,725,173594.25,18093,97669,0,73251.75,77968,353273,190925,124769.85
Valkenswaard,4614649,4483223.28840543,140442.833648756,5446414,5321239,125175,179643,179643,0,2292470.22513019,365332.147961111,3540287.76257292,2354171,365332,0,0,573117.556282548,115110,387557,12027,281647.5,444,14660,0,10995,27120,135648,69440,53545.95
Veghel,3369117,3072297.76695037,303402.74562751,3231310,2930902,300408,201236,194086,7150,1823952.20067652,473219.051802415,2566212.47742973,2016864,515851,13576,0,455988.050169131,74102,257632,150,193111.5,6801,24750,0,18562.5,20118,39235,56128,-10765.8
Veldhoven,4473284,4322886.57510151,154815.97864555,4433476,4263413,170063,179360,154715,24645,1954160.67785903,424734.804978694,3001036.40624598,2282896,411493,0,0,488540.169464757,53856,363490,86,272553,20552,53360,0,40020,55619,342002,128332,165036.45
Vught,2072589,2014572.67387303,62065.357324805,2692990,2648358,44632,111219,89196,22023,1096783.58839429,230056.248221956,1644654.01963152,1175860,230056,16500,0,274195.897098572,34404,106611,1140,79103.25,0,19032,0,14274,18775,59961,18756,37500.15
Waalre,1690396,1486093.23395621,129508.669434119,1819782,1703118,116664,28516,28516,0,617165.998589357,134478.166381423,922038.328136381,500220,134478,0,0,154291.499647339,21944,89683,362,66990.75,4764,0,2208,-1656,16694,55276,11811,33276.3
Waalwijk,6891221,6634051.11979003,270632.993632794,6348503,5963810,384693,353071,303304,49767,3303325.9088967,593685.405158906,4383670.3356917,4020671,592431,0,0,238531.335691702,112952,309245,839,231304.5,23016,87757,0,65817.75,50066,138952,56362,66458.7
Werkendam,1431584,1394803.80488311,31006.6074047098,1796689,1720421,76268,60704,60477,227,745978.018304898,328780.299350247,500170.018304898,639650,203190,24980,0,-130866,18731,41930,441,31116.75,17098,34260,47,25659.75,0,33675,21562,12235.35
Woensdrecht,1976027,1820876.1543354,71978.4983311993,2682511,2612265,70246,28036,21746,6290,1024091.39182244,251400.348624257,1136210.91722762,979889,251400,50,0,127477.917227624,78666,203550,382,152376,9145,44530,0,33397.5,15039,81559,39304,35308.5
Woudrichem,744658,710344.046297176,35769.7655543266,827144,804029,23115,15910,14767,1143,407777.137353757,188132.825275782,274488.78913815,319949,125269,13540,0,-95855.2108618502,10462,45819,759,33795,13542,23470,4233,14427.75,3524,14049,35814,-14305.35
Zundert,945885,874232.944842196,42571.3322705181,1342416,1300413,42003,64993,59959,5034,740041.955411537,249204.63704454,1043927.72629803,866844,249205,2927,0,180010.726298034,57645,122811,0,92108.25,13738,45288,0,33966,106129,56051,139649,-56469.6
Wormerland,1200663,1154162.46269145,48847.8359829459,1726590,1680660,45930,36801,36451,350,697994.493230845,148429.009597569,1037493.89778691,893349,148429,0,0,131379.897786912,16516,51102,0,38326.5,18513,29424,0,22068,1751,37492,2081,28069.35
Onderbanken,1340099,1305107.77765695,37609.304992455,1651563,1600311,51252,32948,32914,34,606776.579341069,90833.1724643936,828060.425235671,665533,104465,0,0,151694.144835267,22514,95629,0,71721.75,3772,19032,0,14274,1751,4997,12490,-4939.95
Landgraaf,10190997,10000557.2974228,210351.395380822,12995419,12780585,214834,599945,598234,1711,5189727.85667367,496613.479592173,6863189.55372944,6216430,588813,1030759,0,1297431.96416842,116081,501295,13439,365892,14582,101103,0,75827.25,9317,232998,52052,144426.75
Arcen en Velden,560063,558409.515543265,2747.7892991425,981056,979003,2053,56861,56861,0,270180.005690985,88238.819031854,386244.946797244,421636,88239,0,0,-35391.0532027558,6025,29068,270,21598.5,4910,0,0,0,512,34745,21711,11484
Beek,1960326,1884423.85438702,20552.6393782725,2642432,2611931,30501,105426,105426,0,1065664.68410104,190011.209695053,721599.540755797,730707,190011,4320,0,-4787.4592442029,29364,213612,0,160209,3754,6660,0,4995,4322,81734,3475,60544.5
Beesel,1688031,1639805.44256487,51524.0809005131,2205037,2143773,61264,53608,53608,0,634694.145305159,172433.071486828,634694.145305159,689508,172433,0,0,-54813.8546948411,31617,143920,272,107736,22449,37266,0,27949.5,6962,87007,26294,48061.35
Bergen (L.),1049504,984251.196797779,54508.3304438448,1375748,1339622,36126,91948,91948,0,482628.220142071,164692.415616011,660299.497074769,417578,164692,900,0,120657.055035518,43833,75163,37191,28479,8798,25120,0,18840,80786,558972,241321,245845.65
Brunssum,8963950,8767046.00807414,214418.511580876,11271535,11043361,228174,366225,365885,340,4067938.39041466,428894.949154604,5743491.67066232,4791398,493729,56316,0,753504.670662321,69367,375050,28015,260276.25,4548,18536,0,13902,10994,296260,28867,206927.1
Eijsden,954427,881096.905881881,14050.5889713873,1090722,1075044,15678,28184,28184,0,537641.666234831,104276.733351658,778438.145897759,585447,105538,0,0,134410.416558708,16070,40002,572,29572.5,4764,9480,0,7110,2618,106463,18988,67304.7
Gennep,1576553,1376602.71106259,50410.8988278685,2147997,2079955,68042,70004,70004,0,820261.519387421,200964.962348296,1041898.03244724,820262,201266,9574,0,205065.379846855,157891,284177,0,213132.75,3699,0,0,0,12630,269399,54295,165280.8
Heerlen,41961600,40910022.1340004,1133563.73307712,53078141,51837509,1240632,844164,815382,28782,20024362,,30495382.3214182,24372176,492176,0,0,5891755.32141821,218086,1182786,10434,879264,36523,121166,0,90874.5,252977,1057038,228620,643947.6
Helden,1246944,1090823.74889488,158555.68835365,1634542,1492679,141863,29406,28196,1210,734746.500854507,237736.399354302,1030785.02204089,899644,237736,0,0,131141.022040886,31029,120821,0,90615.75,16058,37095,0,27821.25,51440,879499,92369,597424.05
Kerkrade,16619588,16339713.6865343,312347.005941047,23217437,22772658,444779,1024897,942314,82583,8184152.63956982,728920.986494548,10585993.5843724,6878948,706196,0,0,2046038.15989245,182564,998643,26872,728828.25,20462,78558,0,58918.5,137396,560628,114151,350755.8
Kessel,190486,176378.956184521,0,354003,348066,5937,1798,0,1798,125020.320038829,57388.3108115377,83759.4885193424,87550,57388,0,0,-3790.5114806576,3351,1935,2820,-663.75,2668,34100,0,25575,0,64104,29814,25717.5
Maasbree,609671,592285.893064494,1985.0534345526,921480,908125,13355,11489,11489,0,337541.375101338,134525.157822063,380247.940581962,409366,134525,0,0,-37424.0594180378,22894,108477,0,81357.75,13860,43444,0,32583,0,1175029,95448,815368.5
Maastricht,41693049,40473814.4160258,1300696.25890334,42715030,41456264,1258766,1820305,1798431,21874,17643659,,25102686.8612872,23622065,0,0,0,-2601755.13871282,232383,687080,23048,498024,25015,176516,1635,131160.75,108092,763305,175322,460139.4
Margraten,976238,932838.587410126,45306.9954032919,1098213,1081461,16752,97516,97516,0,526693.695162838,129700.26689331,739050.36756037,634168,131269,0,0,104882.36756037,14967,63582,9641,40455.75,12233,30138,3000,20353.5,1658,43425,9297,27013.2
Meerssen,2287941,2200084.2065466,92327.418114478,2558851,2509320,49531,86775,86775,0,1176496.42522471,212196.718435619,1482382.72746198,1096493,212197,0,0,294124.106306177,56600,183614,8524,131317.5,9423,47467,0,35600.25,5305,273847,177799,77785.5
Meijel,223213,220259.750811684,3389.2635000455,331260,328446,2814,17130,12787,4343,156822.840535445,71684.0943114021,156946.942086101,124720,71684,0,0,31465.9420861008,16200,23639,0,17729.25,8628,19032,0,14274,63766,274727,152881,92787.75
Mook en Middelaar,631703,621191.749180918,11744.1921280647,837516,820995,16521,6686,6686,0,255198.465960353,61584.8174732802,81748.169156796,252676,59665,23799,0,-63799.6164900881,11067,26771,0,20078.25,0,0,0,0,23143,40684,33560,6864.3
Nederweert,830267,797006.994480298,34882.1301761393,1060979,1040961,20018,12450,9634,2816,444921.496485217,188336.352611791,528113.832335393,451139,188337,43526,0,106994.832335393,38625,113350,0,85012.5,8174,0,0,0,18033,134142,189967,-39659.25
Nuth,1645530,1627888.83722278,15768.866745829,2266451,2228761,37690,114381,89193,25188,1004874.59242495,179839.567681346,1485318.46920597,1132819,212769,0,0,174026.46920597,46002,196091,31895,123147,7318,17601,0,13200.75,3944,72020,20053,44090.4
Roermond,18132841,17150572.1129088,1017698.2134244,18255215,17175405,1079810,790767,762269,28498,8800724.93812934,797978.092156807,12687475.7772104,9470962,797666,387692,0,2200181.23453234,274449,957931,16471,706095,47267,166506,1315,123893.25,51486,189197,161288,28741.8
Schinnen,1790999,1757798.17825072,36699.8425148042,2063749,2029406,34343,25251,25251,0,844919.51468843,144836.639694791,783013.621285037,886308,144837,0,0,-175907.378714963,30510,138974,0,104230.5,0,14660,0,10995,12508,37534,19289,16956.45
Sevenum,278083,265381.280841266,5903.0177882725,360828,355232,5596,26996,25802,1194,194874.314196548,87820.3477549609,259792.142010201,202079,87820,8443,0,48718.5785491369,0,17721,0,13290.75,19107,18105,0,13578.75,4687,217949,83148,103568.55
Simpelveld,1191497,1179080.47253663,14744.2056876757,1342787,1324693,18094,36136,34287,1849,669147.974387066,138842.093516888,786540.126476813,668234,164362,0,0,105189.126476813,11001,60567,0,45425.25,5641,30996,0,23247,10353,64127,12557,42347.85
Stein,2591943,2520222.1746198,23833.9799976368,3203191,3175789,27402,155124,154583,541,1487597.77056557,340206.981143341,1846613.13204002,1658152,340207,19632,0,208093.132040021,66502,251806,12126,179760,1598,18815,905,13432.5,5831,188053,38841,116503.2
Vaals,3094444,2899062.96836303,201426.536933475,4066559,3797620,268939,145093,145093,0,1200505.87467039,115170.895650758,1214695.89616147,1232697,116563,133300,0,115298.896161473,43385,184120,1031,137316.75,4354,33272,0,24954,6773,29334,6384,18640.2
Venlo,27633769,26783819.4686655,903942.646719833,30327961,29391048,936913,859257,841452,17805,9782049,,12396045.1059045,11339757,0,0,0,1056288.10590453,174274,925234,4468,690574.5,76601,217460,118,163006.5,130035,637796,220384,330498.9
Venray,6606774,6386598.09840795,233084.319472182,7225502,7028469,197033,223092,219579,3513,2781317.51336765,459302.786061565,3506830.2635654,2690263,459303,29006,0,695329.378341913,73642,181158,743,135311.25,14466,503,0,377.25,32590,217398,74155,109242.45
Voerendaal,1140956,1133275.1235222,9909.5031564837,1411031,1395427,15604,93096,93096,0,614082.745585705,127663.834095383,725723.137381204,700880,149068,0,0,113039.137381204,15834,115733,0,86799.75,3659,0,0,0,25635,25214,125225,-72866.1
Weert,9351900,8972284.60093961,397887.408738976,10502698,10007823,494875,247399,224024,23375,4837513.58817043,613890.594510337,7488902.12912662,6185632,613891,3348,0,1209378.39704261,243916,1083298,14423,801656.25,56958,180671,0,135503.25,109380,1049533,438095,479251.65
Meerlo-Wanssum,267632,232378.79028669,17983.1047247496,438944,427873,11071,14637,14637,0,191876.057310426,86254.8278655905,266448.552291586,172284,86255,0,0,47969.0143276066,342,29597,0,22197.75,1033,13567,0,10175.25,7910,94504,21437,55650.75
Valkenburg aan de Geul,2607219,2486294.96367628,126018.758753213,3490504,3367159,123345,141003,115154,25849,1350866.98029824,190052.294902005,1549734.20374432,1389663,192350,6278,0,162707.203744316,18413,64337,0,48252.75,16603,34971,669,25726.5,94163,117065,256741,-97704.6
Lelystad,21181972,20063924.1723483,1159433.69640806,20647940,19565245,1082695,759710,726276,33434,8398950,,13608265.769557,11752190,0,61357,0,1917432.76955699,79725,336961,22445,235887,42702,117877,243,88225.5,217095,984316,164799,634651.65
Horst aan de Maas,2029067,1974550.1293739,58480.8625462237,2612050,2510521,101529,101299,101299,0,970724.142744605,310200.503072341,1401866.15305173,1032375,310201,0,0,242681.035686151,40728,112363,852,83633.25,23870,76875,0,57656.25,94367,702898,497055,171470.4
Oude IJsselstreek,4648086,4394424.6171308,262742.497176695,4560583,4276344,284239,195642,193288,2354,2769135.32290886,508850.581323905,3350345.6562736,3100980,508851,187137,0,401783.656273599,62890,209182,8785,150297.75,43624,108976,1502,80605.5,31164,446620,86344,276200.55
Teylingen,1907906,1772468.94940952,139164.735713497,2138586,2006396,132190,60550,59379,1171,712785.323090611,334250.062200666,543562.919406997,0,202322,0,0,178196.330772653,15696,89382,629,66564.75,4063,2350,0,1762.5,24851,219315,3861,163737.75
Utrechtse Heuvelrug,4438390,4262958.95800034,184103.095659181,4704085,4501490,202595,156188,153146,3042,2317108.53480483,445475.526865876,2236840.839196,1675719,445476,0,0,335532.839195997,91867,109331,3655,79257,9546,3857,0,2892.75,39345,215642,66384,115698.9
Oost-Gelre,1989043,1889713.26387031,103215.502896914,2448662,2349666,98996,96436,94226,2210,1111220.96645881,307660.874185898,1618369.95060548,1379272,307661,0,0,238102.950605481,43118,138393,0,103794.75,22190,44137,0,33102.75,15655,141721,52931,70450.2
Koggenland,816781,795895.246760814,22480.6998308923,1168724,1129777,38947,34328,31997,2331,613021.202592281,229279.703855175,872755.260489669,594630,222132,3529,0,153255.30064807,23678,37825,0,28368.75,8749,44787,0,33590.25,0,145679,45325,77848.35
Lansingerland,4057099,3900348.70458721,164678.189753196,4273178,4013228,259950,95553,86848,8705,1518370.34079622,452811.127743555,2090438.28684554,1242873,325030,8708,0,379592.585199055,69263,102133,3528,73953.75,17597,429,2814,-1788.75,17781,1474468,184721,976348.8
Leudal,2638061,2598149.36155258,45065.6846925552,2802721,2769502,33219,128497,128497,0,1113912.70716461,368691.620768239,1205653.42062527,1259585,368692,0,0,-53931.5793747301,83997,148054,31328,87544.5,23421,22956,184,17079,64667,332267,253004,67080.9
Maasgouw,1897584,1790281.19355229,103759.967766868,2284354,2184996,99358,60417,60417,0,1022229.1547509,256814.594773503,1424516.35397686,1197329,256815,62235,0,255557.288687724,101945,337348,13854,242620.5,24118,89858,1169,66516.75,704,183752,62813,107301.85
Eemsmond,3445916,3428307.19686873,24342.0663684844,3712501,3692965,19536,36856,36856,0,1684317.73303255,174695.928506493,2785098.71890699,2584784,169250,0,0,194868.718906988,53175,143240,0,107430,0,28346,0,21259.5,17495,295573,106175,149411.7
Gemert-Bakel,2796999,2766127.19656665,36336.0575237438,3547765,3502845,44920,129513,116482,13031,1217491.23850035,322784.207467728,1578434.0544888,1632202,304320,92593,18464,-98881.9455111972,28690,125013,1513,92625,12539,16789,0,12591.75,48253,505103,73969,335172.15
Halderberge,2905352,2747102.67672925,163926.367438338,3377441,3180813,196628,172669,171467,1202,1668498.56907843,375233.558613693,2386797.94411101,1728085,375233,7997,0,417124.642269608,83412,260752,1899,194139.75,19769,11998,0,8998.5,57864,59303,132191,-50715.6
Heeze-Leende,751084,727506.979311718,25044.1714012308,1089119,1058222,30897,20545,20545,0,463755.766839948,134404.16113858,707672.378872036,623917,134414,0,0,83755.3788720357,37865,85791,982,63606.75,9702,3087,195,2169,1257,439968,118043,245075.4
Laarbeek,1644500,1610715.2193056,36998.1462074737,1744660,1718934,25726,48760,45430,3330,812238.114210501,248071.248444153,939558.460582852,659355,240337,0,0,203059.528552625,48057,170710,780,127447.5,5493,11864,0,8898,3875,31913,19256,9492.75
Reiderland,2541125,2516577.25653869,29512.6637080887,3301583,3273792,27791,99397,99397,0,1279455.48942472,112575.629947397,1536686.81440347,1227620,112576,0,0,243426.814403474,41381,98422,0,73816.5,14472,45579,0,34184.25,20629,156062,30667,99374.55
De Marne,2088783,2057464.28099044,35399.9174800819,2551607,2507249,44358,141791,141791,0,1092599.6449335,130504.553073065,1187361.00477446,1375477,130505,0,0,0,46981,104416,1020,77547,3699,33120,0,24840,84750,56390,29919,21875.55
Zevenhuizen-Moerkapelle,496906,483441.828747848,14434.9884452744,665799,653355,12444,10905,10905,0,340941.233943841,106062.744434025,387942.727972905,350117,67904,0,0,-333.2720270951,11114,16521,0,12390.75,459,0,0,0,41746,2382,168611,-124314.45
Reusel-De Mierden,506705,391866.153170166,35652.1417405504,531182,507545,23637,11185,11185,0,346852.108509883,141038.301045553,476936.482757352,284445,42891,0,0,86713.0271274708,19588,40552,0,30414,0,0,0,0,47687,376977,247051,98546.4
Roerdalen,1992866,1877506.57693131,119254.783152765,2747688,2628052,119636,31536,31536,0,945832.67163283,267666.860817748,965467.155175202,1032879,267667,0,0,-67411.8448247981,134336,499432,310,374341.5,4860,23876,0,17907,5437,97876,31874,52478.25
Maasdonk,393965,352738.82832723,14841.2150186251,357372,332370,25002,18625,18625,0,306503.394578313,133796.681912684,412901.289169348,353969,133797,0,0,50678.2891693478,32428,81839,0,61379.25,4354,0,0,0,2632,78026,80899,-597.45
Rijnwoude,721672,657541.047928022,65540.7166060681,1052456,993957,58499,30985,30985,0,511996.769310876,189633.976950377,698841.15182736,574268,189634,2160,0,126733.15182736,23805,59386,0,44539.5,5093,0,0,0,1288,27806,42426,-9805.5
Roosendaal,14037222,12521581.351077,771618.281454908,12322412,11494312,828100,435059,402680,32379,7531916.12685353,1012409.23056882,7531916.59675675,7273348,1012409,70023,0,-161631.403243251,207063,512070,916,383365.5,41078,64049,1234,47111.25,77666,305317,162685,123255.15
Schouwen-Duiveland,3099007,2976348.69165508,128713.192920333,3132097,3012873,119224,175893,175893,0,1877342.979232,392764.688134392,2792859.70384703,2363986,392765,126893,0,469335.744807999,72729,68390,0,51292.5,16569,40635,0,30476.25,25268,127007,122114,6482.1
Aa en Hunze,2059865,2025001.97352555,38888.6155443506,2737353,2707030,30323,45285,45285,0,1341795.57668434,243547.655966727,1888756.53666537,1681015,243548,0,0,207741.536665365,92122,202159,1767,150294,32289,116707,0,87530.25,39361,403321,86260,248113.35
Borger-Odoorn,2974767,2933783.90050017,46794.8760167287,3174233,3128003,46230,121227,121227,0,1957415.16422428,294639.864311861,1897846.16422428,2499664,294640,2894,0,-489353.791056069,121867,391833,1461,292779,20325,81853,0,61389.75,42391,470761,128449,266791.95
Cuijk,3079444,2732875.27937077,289827.502377775,3601730,3340453,261277,224358,210126,14232,1630805.59949342,318725.680476628,2083359.97984648,1878890,318726,270,0,196167.979846483,76050,141781,1576,105153.75,24859,10935,0,8201.25,5270,126748,14283,87982.8
Landerd,605970,586724.674748507,16897.8128347529,787464,771560,15904,34883,34883,0,406491.314802919,139759.277893753,580260.960128734,289516,139759,252,0,101622.82870073,28733,117124,0,87843,10683,16547,0,12410.25,0,340671,91621,188375.7
De Wolden,1295305,1248901.86349334,48933.9317641635,1593560,1557462,36098,59071,59071,0,706722.774550719,237979.526651301,904144.298286851,1023767,237980,14526,0,-105096.701713149,33412,85336,0,64002,8383,25441,0,19080.75,14907,107395,63791,37734.9
Noord-Beveland,538665,521509.659860722,18207.4388025701,694111,679664,14447,28865,28865,0,255285.833568201,74166.5093246652,237621.490486044,323042,0,14570,0,0,17277,27322,1838,19113,4764,19032,0,14274,0,2835,0,2551.5
Wijdemeren,1227874,1131801.36001081,98471.7466134872,1723509,1640769,82740,28743,26949,1794,667186.933844721,225093.324792601,975910.244094218,799057,225093,0,225093,-41536.7559057815,21305,111367,820,82910.25,9288,20805,0,15603.75,10711,159157,5504,120043.05
Noordenveld,3748706,3696216.70831899,59812.3156135046,4327543,4274780,52763,153203,153203,0,1664194.17821825,276255.358175872,1848769.06594711,1770883,276255,26818,0,2012.0659471073,54486,166677,0,125007.75,13120,34725,0,26043.75,30181,451279,28328,322342.35
Twenterand,3322570,3236823.06857095,92238.8970999866,3868370,3796930,71440,203861,203861,0,1578864.51054723,408954.265586078,1437915.25457702,1295072,408954,133524,0,125173.254577022,52631,213721,3983,157303.5,13267,38064,0,28548,7698,397465,93919,238117.95
Westerveld,1452619,1448318.63298767,7137.4615246039,2138320,2102053,36267,59092,55030,4062,827133.987519703,208426.268565052,666580.055324149,786875,208426,0,0,-152339.944675851,29311,138672,0,104004,9286,19124,0,14343,7665,75740,47077,23819.7
Sint Anthonis,510466,479700.643756378,31763.2801861153,679733,646042,33691,11227,5068,6159,375576.814080862,91204.7436132831,595909.004248983,402807,111483,0,0,93894.2035202154,15224,73095,0,54821.25,24293,27359,0,20519.25,0,11991,81662,-52103.7
Lingewaard,5347614,5197247.37148789,160813.580531498,4949196,4821753,127443,133129,130916,2213,1924823.85309517,508572.366111139,2247162.07322514,1995535,508572,3886,0,72765.0732251359,75793,224770,931,167879.25,38533,83673,1500,61629.75,62138,566447,62333,384515.55
Cranendonck,1713698,1601246.32051653,77372.2171319873,1960829,1893883,66946,49352,49352,0,855704.035984591,239443.751176007,1020609.01491995,966931,239444,0,0,53678.0149199523,59486,360138,667,269603.25,6631,7313,1160,4614.75,15263,36292,56145,-14638.35
Steenwijkerland,7029430,6923871.23366358,119291.161651871,6556548,6441129,115419,208281,203597,4684,3538045.92912436,493475.065883804,5095103.08542027,4797613,493475,5810,0,202901.085420271,75806,137652,1127,102393.75,19798,33616,0,25212,27186,348603,119902,180329.25
Moerdijk,2905495,2795136.19841952,116035.28598188,3102389,2974117,128272,83686,81526,2160,1409330.34764435,437124.863598591,1609911.64651116,1411425,437125,0,0,198486.646511155,77511,251210,830,187785,13966,52674,0,39505.5,5942,291251,41788,189330.75
Echt-Susteren,3940372,3907570.83161755,40500.1830547479,4405091,4262648,142443,120291,106890,13401,2077545.14483366,386876.018589854,2450490.86132685,2034473,386876,0,0,362798.861326851,131894,471876,7030,348634.5,25038,97796,0,73347,36181,461858,156669,239524.2
Sluis,2442051,2314439.19014489,86469.2671417696,2828017,2731586,96431,108173,107151,1022,1104648.71888036,255871.510415891,1364761.82996877,1165310,254403,13096,0,108446.829968771,49979,144297,54,108182.25,35548,123543,179,92523,28463,109678,20307,70378.65
Drimmelen,1111646,1052883.51145094,60935.1986192442,1325801,1263454,62347,70650,70377,273,813359.843228693,279549.766472092,1115632.34501054,1126378,279550,22863,0,12117.3450105416,60148,150241,0,112680.75,25582,57179,0,42884.25,5131,235673,51566,141443.55
Bernheze,1882932,1826595.40566002,60016.0352084984,2057539,2009484,48055,20663,20663,0,992247.933709979,332680.554102695,1282241.16706356,1338155,332715,365981,0,245104.167063561,90452,245350,649,183525.75,8627,49616,0,37212,27767,400514,100760,227308.05
Ferwerderadiel,1178684,1110049.2194417,29495.6870751725,1343762,1302818,40944,72917,72917,0,743725.464634275,100094.761195937,1243724.93826383,936323,100095,0,0,185931.366158569,33116,77726,1017,57531.75,13145,51244,0,38433,20322,116516,43459,55730.7
Alphen-Chaam,297900,264131.169923633,15652.4555486897,441842,426468,15374,20199,20199,0,219771.065481092,103331.478234307,293797.083315666,206485,103113,0,0,54942.766370273,5247,35386,0,26539.5,4907,7327,0,5495.25,36238,19914,155833,-100850.4
Bergeijk,1104241,1077875.28839395,28524.3811490414,1289799,1269350,20449,42233,42233,0,517218.277828465,163792.999308903,608402.15858506,524507,158686,0,0,78788.1585850598,56773,120123,257,89899.5,0,0,0,0,8887,49602,22874,20896.5
Bladel,750814,625506.032324804,39257.2510019584,857328,812032,45296,13814,13814,0,550013.932171382,210767.696437525,786827.321847672,563163,71915,0,0,84811.3218476724,40129,111132,0,83349,7988,33071,0,24803.25,12348,329589,223489,81240.6
Gulpen-Wittem,1120987,1018268.1463352,27634.3205375805,1219750,1191527,28223,90704,90704,0,711553.60964195,169949.361742531,715515.535477516,791644,169949,66700,0,-9428.4645224842,59656,116550,276,87205.5,4764,53772,1180,39444,13512,48821,12265,29583.15
Tynaarlo,2709929,2679950.37956072,35273.8053498476,3385607,3364373,21234,55161,55161,0,1063769.60994908,249155.398546343,1322059.92236541,1251490,249155,0,0,70569.9223654144,48012,220572,1063,164631.75,8378,8694,0,6520.5,17221,404680,88228,249807.75
Midden-Drenthe,3613038,3543948.93751344,76147.4743287508,4252908,4141238,111670,321441,321441,0,1463781.74119382,358313.655209929,2311294.59731147,1375654,358314,297,0,365945.435298455,48716,166310,306,124503,21299,125516,345,93878.25,40027,251892,172147,70590.3
Overbetuwe,5314251,5197788.47453033,126845.763299557,5446046,5307704,138342,230147,230147,0,2296987.39618989,483255.933536985,3296805.41535373,2984551,483256,10806,0,323060.415353728,41468,219779,12,164825.25,13783,52162,0,39121.5,25925,282379,58882,172612.65
Hof van Twente,2762437,2584127.81349463,141461.431623725,2962796,2834327,128469,56201,56201,0,1666271.72121064,371208.775336942,2060151.41396822,1799627,359636,0,0,248951.413968219,100657,240576,0,180432,46164,58760,0,44070,25285,655127,239235,320129.1
