"Divisie","FAO Code","omschrijving","totaal","jaar","type"
"Ministerie van Economische Zaken","1333","Bedrijfsprofiel jaarrekening",11868.5,"2016","Ministerie"
"Ministerie van Economische Zaken","1340","KvK adressen internet",462.86,"2016","Ministerie"
"Ministerie van Economische Zaken","1350","Overig online",155.55,"2016","Ministerie"
"Ministerie van Economische Zaken","1360","Dataservices",7921539.45,"2016","Ministerie"
"Unie van Waterschappen","1240","Adressen",36925.96,"2016","Waterschappen"
"Unie van Waterschappen","1250","Mutatieabonnementen",543775.37,"2016","Waterschappen"
"Unie van Waterschappen","1300","Uittreksels online (inzage)",225549.45,"2016","Waterschappen"
"Unie van Waterschappen","1301","Concernrelaties",421.35,"2016","Waterschappen"
"Unie van Waterschappen","1302","in t kort",6376.5,"2016","Waterschappen"
"Unie van Waterschappen","1303","Historie",11569.9,"2016","Waterschappen"
"Unie van Waterschappen","1304","Uitreksels EGU",1530,"2016","Waterschappen"
"Unie van Waterschappen","1305","Deponeringen",445.2,"2016","Waterschappen"
"Unie van Waterschappen","1306","Bedrijfsprofiel Uittreksels",59985.4,"2016","Waterschappen"
"Unie van Waterschappen","1307","Bedrijfsprofiel concernrelaties",14066.2,"2016","Waterschappen"
"Unie van Waterschappen","1330","Inzien jaarrekening",42.7,"2016","Waterschappen"
"Unie van Waterschappen","1331","Gewaarmerkte jaarrekening",7.5,"2016","Waterschappen"
"Unie van Waterschappen","1332","VRIS",152.65,"2016","Waterschappen"
"Unie van Waterschappen","1333","Bedrijfsprofiel jaarrekening",24150.65,"2016","Waterschappen"
"Unie van Waterschappen","1340","KvK adressen internet",74.67,"2016","Waterschappen"
"Unie van Waterschappen","1350","Overig online",24.4,"2016","Waterschappen"
"Unie van Waterschappen","1360","Dataservices",13923214.95,"2016","Waterschappen"
"Gemeenten (VNG)","1240","Adressen",172396.15,"2016","Gemeenten"
"Gemeenten (VNG)","1250","Mutatieabonnementen",1703697.85,"2016","Gemeenten"
"Gemeenten (VNG)","1300","Uittreksels online (inzage)",717988.1,"2016","Gemeenten"
"Gemeenten (VNG)","1301","Concernrelaties",7820.15,"2016","Gemeenten"
"Gemeenten (VNG)","1302","in t kort",16662,"2016","Gemeenten"
"Gemeenten (VNG)","1303","Historie",19643.4,"2016","Gemeenten"
"Gemeenten (VNG)","1304","Uitreksels EGU",12292.5,"2016","Gemeenten"
"Gemeenten (VNG)","1305","Deponeringen",2316.55,"2016","Gemeenten"
"Gemeenten (VNG)","1306","Bedrijfsprofiel Uittreksels",146032.05,"2016","Gemeenten"
"Gemeenten (VNG)","1307","Bedrijfsprofiel concernrelaties",29242.75,"2016","Gemeenten"
"Gemeenten (VNG)","1330","Inzien jaarrekening",2375.95,"2016","Gemeenten"
"Gemeenten (VNG)","1331","Gewaarmerkte jaarrekening",105,"2016","Gemeenten"
